AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR,PLS16_,PLS16_ID,PLSNET_,PLSNET_ID,SOURCE,HYDROAREA,BASIN,REGIONNAME,FRQ_SECNBA,REGION,PLS10_,PLS10_ID,OBJECTID,AGENCYNAME,SOURCE_1,AGENCYUNIQ,LASTMODIFI,MODIFIEDBY,SOURCECOMM,Date_Data_,GlobalID
2555996.26532,6396.90551,612,90243,54,M16S,24E,02,-119.33095,36.56795,M,16S,M16S24E02,M16S24E,54M16S24E02,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2512705.34485,6341.89013,614,90252,54,M16S,24E,01,-119.31308,36.56773,M,16S,M16S24E01,M16S24E,54M16S24E01,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2570094.12140,6412.45944,617,90258,54,M16S,25E,06,-119.29510,36.56750,M,16S,M16S25E06,M16S25E,54M16S25E06,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2516544.32718,6346.62253,619,90264,54,M16S,25E,05,-119.27703,36.56734,M,16S,M16S25E05,M16S25E,54M16S25E05,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2536635.23630,6371.71136,621,90267,54,M16S,25E,04,-119.25901,36.56719,M,16S,M16S25E04,M16S25E,54M16S25E04,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2544893.34955,6382.75058,623,90269,54,M16S,25E,03,-119.24087,36.56706,M,16S,M16S25E03,M16S25E,54M16S25E03,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2533241.25012,6366.47889,626,90273,54,M16S,25E,01,-119.20504,36.56671,M,16S,M16S25E01,M16S25E,54M16S25E01,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2633038.50089,6438.30981,669,90509,54,M16S,23E,09,-119.47481,36.55483,M,16S,M16S23E09,M16S23E,54M16S23E09,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,8047,Consolidated Irrigation District,SERYSIAN,612,2016-03-29T11:36:07.000Z,SERYSIAN,"updated boundary from KRCD; Basin boundary modification submittal; drawn from written description (annex/detach not applicable are not included)",2015-09-15T09:28:49.000Z,{63B33E44-E0A1-42F3-B467-A29490016F0F}
2539106.42517,6375.20078,670,90510,54,M16S,23E,10,-119.45685,36.55475,M,16S,M16S23E10,M16S23E,54M16S23E10,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2557015.30801,6398.33782,672,90514,54,M16S,23E,12,-119.42058,36.55444,M,16S,M16S23E12,M16S23E,54M16S23E12,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2568824.27750,6412.54384,673,90515,54,M16S,24E,07,-119.40300,36.55435,M,16S,M16S24E07,M16S24E,54M16S24E07,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2711133.42996,6587.49360,675,90518,54,M16S,23E,11,-119.43868,36.55457,M,16S,M16S23E11,M16S23E,54M16S23E11,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2606686.41450,6461.27098,681,90542,54,M16S,24E,08,-119.38503,36.55395,M,16S,M16S24E08,M16S24E,54M16S24E08,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2649154.48480,6514.17536,682,90544,54,M16S,24E,09,-119.36663,36.55383,M,16S,M16S24E09,M16S24E,54M16S24E09,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2514609.33023,6343.93669,683,90545,54,M16S,24E,10,-119.34861,36.55376,M,16S,M16S24E10,M16S24E,54M16S24E10,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2604774.23382,6456.38262,687,90552,54,M16S,24E,11,-119.33079,36.55357,M,16S,M16S24E11,M16S24E,54M16S24E11,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2524124.54452,6355.86024,688,90559,54,M16S,24E,12,-119.31290,36.55339,M,16S,M16S24E12,M16S24E,54M16S24E12,54M16S24E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2583325.64230,6437.98588,690,90564,54,M16S,25E,07,-119.29504,36.55320,M,16S,M16S25E07,M16S25E,54M16S25E07,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2590248.97504,6437.91431,691,90565,54,M16S,25E,08,-119.27699,36.55305,M,16S,M16S25E08,M16S25E,54M16S25E08,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2638279.04894,6497.05257,692,90569,54,M16S,25E,10,-119.24079,36.55274,M,16S,M16S25E10,M16S25E,54M16S25E10,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2570701.20636,6415.00760,693,90570,54,M16S,25E,11,-119.22278,36.55262,M,16S,M16S25E11,M16S25E,54M16S25E11,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2611907.10507,6465.24043,694,90571,54,M16S,25E,09,-119.25893,36.55288,M,16S,M16S25E09,M16S25E,54M16S25E09,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
1146604.97452,5116.37947,698,90579,54,M16S,23E,08,-119.48960,36.55096,M,16S,M16S23E08,M16S23E,54M16S23E08,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,8047,Consolidated Irrigation District,SERYSIAN,612,2016-03-29T11:36:07.000Z,SERYSIAN,"updated boundary from KRCD; Basin boundary modification submittal; drawn from written description (annex/detach not applicable are not included)",2015-09-15T09:28:49.000Z,{63B33E44-E0A1-42F3-B467-A29490016F0F}
2702049.76947,6575.96379,700,90585,54,M16S,26E,07,-119.18674,36.55210,M,16S,M16S26E07,M16S26E,54M16S26E07,54M16S26E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2571613.95905,6415.73235,702,90589,54,M16S,25E,12,-119.20492,36.55232,M,16S,M16S25E12,M16S25E,54M16S25E12,54M16S25E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,43,Orange Cove Irrigation District,SCRO,1801,2013-11-07T00:00:00.000Z,source,,2013-11-07T00:00:00.000Z,{84E677CA-8FCE-47C1-A72F-4EB358555AA1}
2604444.16759,6455.41689,742,90794,54,M16S,23E,16,-119.47460,36.54033,M,16S,M16S23E16,M16S23E,54M16S23E16,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2554198.33649,6393.72754,743,90795,54,M16S,23E,15,-119.45678,36.54022,M,16S,M16S23E15,M16S23E,54M16S23E15,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
2680574.14053,6457.74066,744,90796,54,M16S,23E,17,-119.49303,36.54045,M,16S,M16S23E17,M16S23E,54M16S23E17,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,8047,Consolidated Irrigation District,SERYSIAN,612,2016-03-29T11:36:07.000Z,SERYSIAN,"updated boundary from KRCD; Basin boundary modification submittal; drawn from written description (annex/detach not applicable are not included)",2015-09-15T09:28:49.000Z,{63B33E44-E0A1-42F3-B467-A29490016F0F}
2702032.92049,6575.97446,745,90803,54,M16S,23E,14,-119.43865,36.54003,M,16S,M16S23E14,M16S23E,54M16S23E14,54M16S23E,0,0,0.00000,0.00000,0,0.00000,0,0,0.00000,0,0.00000,0.00000,52540,Alta Irrigation District,SERYSIAN,2042,2018-03-30T09:12:19.000Z,SERYSIAN,"updated boundary from KRCD Basin boundary modification submittal; drawn from written description and historical maps",2018-03-30T09:10:59.000Z,{6137EE41-A93E-4428-9F92-6764A52F516D}
