AREA,PERIMETER,PLSNET_,PLSNET_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,HYDROAREA,BASIN,REGIONNAME,FRQ_SECNBA,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,REGION,CO_MTR
2621402.70312000019,6477.78824000000,127666.00000000000,129238.00000000000,15,S09N,09W,29,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.85445000000,34.84463000000,S,09N,S09N09W29,S09N09W,15S09N09W29,6,15S09N09W
2504929.56786999991,6349.38737000000,127669.00000000000,129241.00000000000,15,S09N,15W,20,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.49333000000,34.85488000000,S,09N,S09N15W20,S09N15W,15S09N15W20,6,15S09N15W
2622634.05932000000,6486.08840000000,127672.00000000000,129244.00000000000,15,S09N,15W,19,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.51059000000,34.85470000000,S,09N,S09N15W19,S09N15W,15S09N15W19,6,15S09N15W
2637618.21629999997,6497.54851000000,127680.00000000000,129252.00000000000,15,S09N,09W,30,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.87223000000,34.84438000000,S,09N,S09N09W30,S09N09W,15S09N09W30,6,15S09N09W
2595475.41967999982,6444.87831000000,127682.00000000000,129254.00000000000,15,S09N,16W,24,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.52830000000,34.85474000000,S,09N,S09N16W24,S09N16W,15S09N16W24,6,15S09N16W
2594219.39990000008,6442.73745000000,127690.00000000000,129262.00000000000,15,S09N,16W,23,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.54595000000,34.85456000000,S,09N,S09N16W23,S09N16W,15S09N16W23,6,15S09N16W
2670034.54687000019,6536.13712000000,127694.00000000000,129266.00000000000,15,S09N,10W,26,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.90795000000,34.84455000000,S,09N,S09N10W26,S09N10W,15S09N10W26,6,15S09N10W
2645147.67187000019,6506.74724000000,127695.00000000000,129267.00000000000,15,S09N,10W,25,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.89011000000,34.84439000000,S,09N,S09N10W25,S09N10W,15S09N10W25,6,15S09N10W
2605050.73828000017,6456.41485000000,127701.00000000000,129273.00000000000,15,S09N,16W,22,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.56362000000,34.85449000000,S,09N,S09N16W22,S09N16W,15S09N16W22,6,15S09N16W
2635487.91430999991,6493.84857000000,127702.00000000000,129274.00000000000,15,S09N,10W,27,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.92576000000,34.84457000000,S,09N,S09N10W27,S09N10W,15S09N10W27,6,15S09N10W
2596573.48462999985,6446.36119000000,127704.00000000000,129276.00000000000,15,S09N,16W,21,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.58138000000,34.85445000000,S,09N,S09N16W21,S09N16W,15S09N16W21,6,15S09N16W
2671271.59400000004,6537.72300000000,127710.00000000000,129282.00000000000,15,S09N,10W,28,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.94355000000,34.84464000000,S,09N,S09N10W28,S09N10W,15S09N10W28,6,15S09N10W
2658244.56713999994,6521.73805000000,127714.00000000000,129286.00000000000,15,S09N,10W,29,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.96144000000,34.84464000000,S,09N,S09N10W29,S09N10W,15S09N10W29,6,15S09N10W
2606983.21692000004,6459.14483000000,127715.00000000000,129287.00000000000,15,S09N,16W,20,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.59924000000,34.85438000000,S,09N,S09N16W20,S09N16W,15S09N16W20,6,15S09N16W
2602630.66537000006,6454.01925000000,127716.00000000000,129288.00000000000,15,S09N,16W,19,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.61700000000,34.85446000000,S,09N,S09N16W19,S09N16W,15S09N16W19,6,15S09N16W
2608921.37564000022,6460.99019000000,127726.00000000000,129298.00000000000,15,S09N,17W,24,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.63479000000,34.85466000000,S,09N,S09N17W24,S09N17W,15S09N17W24,6,15S09N17W
2530442.40284000011,6365.00706000000,127727.00000000000,129299.00000000000,15,S09N,17W,23,3,626.40000000000,62640,LAHONTAN,1.00000000000,-118.65249000000,34.85492000000,S,09N,S09N17W23,S09N17W,15S09N17W23,6,15S09N17W
2524334.88476999989,6355.47576000000,127729.00000000000,129301.00000000000,15,S09N,17W,22,3,626.40000000000,62640,LAHONTAN,1.00000000000,-118.67003000000,34.85514000000,S,09N,S09N17W22,S09N17W,15S09N17W22,6,15S09N17W
2456476.64795000013,6269.66647000000,127730.00000000000,129302.00000000000,15,S09N,17W,21,3,626.40000000000,62640,LAHONTAN,1.00000000000,-118.68728000000,34.85529000000,S,09N,S09N17W21,S09N17W,15S09N17W21,6,15S09N17W
2598127.90819999995,6447.97428000000,127731.00000000000,129303.00000000000,15,S09N,17W,20,3,626.40000000000,62640,LAHONTAN,1.00000000000,-118.70468000000,34.85543000000,S,09N,S09N17W20,S09N17W,15S09N17W20,6,15S09N17W
2624107.65234000003,6480.16292000000,127732.00000000000,129304.00000000000,15,S09N,10W,30,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.97917000000,34.84474000000,S,09N,S09N10W30,S09N10W,15S09N10W30,6,15S09N10W
2590407.10937000019,6438.00722000000,127734.00000000000,129306.00000000000,15,S09N,17W,19,3,626.40000000000,62640,LAHONTAN,1.00000000000,-118.72246000000,34.85559000000,S,09N,S09N17W19,S09N17W,15S09N17W19,6,15S09N17W
2741454.11279000016,6625.70400000000,127735.00000000000,129307.00000000000,15,S09N,18W,24,1,626.40000000000,62640,LAHONTAN,1.00000000000,-118.74063000000,34.85574000000,S,09N,S09N18W24,S09N18W,15S09N18W24,6,15S09N18W
2541484.77319000009,6377.89318000000,127736.00000000000,129308.00000000000,15,S09N,18W,23,1,626.40000000000,62640,LAHONTAN,2.00000000000,-118.75856000000,34.85586000000,S,09N,S09N18W23,S09N18W,15S09N18W23,6,15S09N18W
2633028.69482999993,6486.70508000000,127742.00000000000,129314.00000000000,15,S09N,18W,22,1,556.20000000000,55620,CENTRAL VALLEY,2.00000000000,-118.77610000000,34.85596000000,S,09N,S09N18W22,S09N18W,15S09N18W22,5,15S09N18W
2667827.02442000015,6532.99374000000,127744.00000000000,129316.00000000000,15,S09N,11W,25,1,626.50000000000,62650,LAHONTAN,1.00000000000,-117.99686000000,34.84465000000,S,09N,S09N11W25,S09N11W,15S09N11W25,6,15S09N11W
2399856.30274000019,6205.63272000000,127750.00000000000,129322.00000000000,15,S09N,18W,21,1,556.20000000000,55620,CENTRAL VALLEY,2.00000000000,-118.79314000000,34.85606000000,S,09N,S09N18W21,S09N18W,15S09N18W21,5,15S09N18W
2583035.88208999997,6428.71572000000,127753.00000000000,129325.00000000000,15,S09N,18W,20,3,556.30000000000,55630,CENTRAL VALLEY,2.00000000000,-118.81000000000,34.85616000000,S,09N,S09N18W20,S09N18W,15S09N18W20,5,15S09N18W
2596656.09523000009,6445.76052000000,127754.00000000000,129326.00000000000,15,S09N,18W,19,3,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.82751000000,34.85626000000,S,09N,S09N18W19,S09N18W,15S09N18W19,5,15S09N18W
2690302.68724999996,6561.04260000000,127758.00000000000,129330.00000000000,15,S09N,11W,26,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.01476000000,34.84439000000,S,09N,S09N11W26,S09N11W,15S09N11W26,6,15S09N11W
2686531.50633999985,6556.37508000000,127764.00000000000,129336.00000000000,15,S09N,11W,27,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.03275000000,34.84414000000,S,09N,S09N11W27,S09N11W,15S09N11W27,6,15S09N11W
2665542.85522999987,6530.67531000000,127773.00000000000,129345.00000000000,15,S09N,11W,28,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.05068000000,34.84388000000,S,09N,S09N11W28,S09N11W,15S09N11W28,6,15S09N11W
2650168.21583000012,6511.89082000000,127781.00000000000,129353.00000000000,15,S09N,11W,29,1,626.50000000000,62650,LAHONTAN,1.00000000000,-118.06853000000,34.84362000000,S,09N,S09N11W29,S09N11W,15S09N11W29,6,15S09N11W
2618476.05200000014,6473.32360000000,127785.00000000000,129357.00000000000,15,S09N,19W,24,3,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.84507000000,34.85400000000,S,09N,S09N19W24,S09N19W,15S09N19W24,5,15S09N19W
2707211.31957999989,6581.96175000000,127788.00000000000,129360.00000000000,15,S09N,19W,23,3,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.86279000000,34.85402000000,S,09N,S09N19W23,S09N19W,15S09N19W23,5,15S09N19W
2702693.98510000017,6577.09661000000,127791.00000000000,129363.00000000000,15,S09N,19W,22,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.88067000000,34.85413000000,S,09N,S09N19W22,S09N19W,15S09N19W22,5,15S09N19W
2560597.81834999984,6402.77738000000,127792.00000000000,129364.00000000000,15,S09N,19W,19,1,556.30000000000,55630,CENTRAL VALLEY,1.00000000000,-118.93318000000,34.85470000000,S,09N,S09N19W19,S09N19W,15S09N19W19,5,15S09N19W
