AREA,PERIMETER,PLS16_,PLS16_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS
2658322.94388,6529.11433,60,14435349,16,M18S,22E,02,-119.55505,36.39507,M,18S,M18S22E02,M18S22E,16M18S22E02
2666807.11140,6533.18502,61,14638961,16,M18S,20E,03,-119.78835,36.39563,M,18S,M18S20E03,M18S20E,16M18S20E03
2693445.13391,6564.89221,62,14638967,16,M18S,20E,04,-119.80640,36.39570,M,18S,M18S20E04,M18S20E,16M18S20E04
2644924.97837,6505.54494,63,14638971,16,M18S,20E,05,-119.82458,36.39577,M,18S,M18S20E05,M18S20E,16M18S20E05
2441110.19900,6254.75348,64,14638972,16,M18S,20E,06,-119.84201,36.39582,M,18S,M18S20E06,M18S20E,16M18S20E06
2617111.70078,6470.87022,65,14638973,16,M18S,19E,01,-119.85934,36.39581,M,18S,M18S19E01,M18S19E,16M18S19E01
2664824.10846,6529.87184,66,14435365,16,M18S,22E,03,-119.57312,36.39502,M,18S,M18S22E03,M18S22E,16M18S22E03
494.60815,1677.64259,67,14638977,16,M17S,19E,36,-119.86585,36.40220,M,17S,M17S19E36,M17S19E,16M17S19E36
2612353.38544,6465.84124,68,14638979,16,M18S,23E,04,-119.50102,36.39473,M,18S,M18S23E04,M18S23E,16M18S23E04
4780.30791,3187.09994,69,14638981,16,M17S,19E,35,-119.87764,36.40209,M,17S,M17S19E35,M17S19E,16M17S19E35
2603682.66692,6454.42380,70,14638983,16,M18S,19E,02,-119.87724,36.39572,M,18S,M18S19E02,M18S19E,16M18S19E02
2635945.36026,6494.80285,71,14435374,16,M18S,22E,04,-119.59112,36.39498,M,18S,M18S22E04,M18S22E,16M18S22E04
2674262.41199,6550.85295,72,14638986,16,M18S,23E,05,-119.48303,36.39421,M,18S,M18S23E05,M18S23E,16M18S23E05
2668995.08148,6535.29745,73,14435377,16,M18S,22E,05,-119.60909,36.39496,M,18S,M18S22E05,M18S22E,16M18S22E05
2622624.04077,6482.97618,74,14435381,16,M18S,22E,06,-119.62708,36.39494,M,18S,M18S22E06,M18S22E,16M18S22E06
1511.88021,1443.99815,75,14638993,16,M17S,19E,34,-119.88849,36.40194,M,17S,M17S19E34,M17S19E,16M17S19E34
2603328.22955,6452.55175,76,14638995,16,M18S,19E,03,-119.89523,36.39554,M,18S,M18S19E03,M18S19E,16M18S19E03
11627.06052,3426.99207,77,14638996,16,M18S,23E,03,-119.47404,36.39408,M,18S,M18S23E03,M18S23E,16M18S23E03
2628919.08173,6485.64866,78,14435389,16,M18S,21E,01,-119.64504,36.39486,M,18S,M18S21E01,M18S21E,16M18S21E01
2670301.22647,6536.99905,79,14435393,16,M18S,21E,03,-119.68103,36.39481,M,18S,M18S21E03,M18S21E,16M18S21E03
2640451.84268,6500.19921,80,14435394,16,M18S,21E,02,-119.66304,36.39480,M,18S,M18S21E02,M18S21E,16M18S21E02
2574295.21172,6419.62948,81,14639007,16,M18S,19E,04,-119.91325,36.39534,M,18S,M18S19E04,M18S19E,16M18S19E04
2631815.67412,6489.91025,82,14435399,16,M18S,21E,04,-119.69896,36.39480,M,18S,M18S21E04,M18S21E,16M18S21E04
2612787.32727,6463.87821,83,14435403,16,M18S,21E,05,-119.71683,36.39481,M,18S,M18S21E05,M18S21E,16M18S21E05
2615513.51996,6465.72565,84,14435406,16,M18S,20E,01,-119.75297,36.39497,M,18S,M18S20E01,M18S20E,16M18S20E01
