AREA,PERIMETER,PLS54_,PLS54_ID,COUNTY_CD,MTOWN,RANGE,SECTION,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2600417.21686,6450.79562,4729,106624,54,M24S,27E,22,-119.04364,35.82779,M,24S,M24S27E22,M24S27E,54M24S27E22,54M24S27E
2602350.88995,6452.90315,4730,106626,54,M24S,27E,21,-119.06154,35.82782,M,24S,M24S27E21,M24S27E,54M24S27E21,54M24S27E
2601033.92273,6447.89668,4731,106627,54,M24S,27E,20,-119.07943,35.82789,M,24S,M24S27E20,M24S27E,54M24S27E20,54M24S27E
2675160.31854,6539.65627,4732,106636,54,M24S,27E,19,-119.09761,35.82779,M,24S,M24S27E19,M24S27E,54M24S27E19,54M24S27E
2561355.58253,6401.93354,4733,106638,54,M24S,26E,24,-119.11563,35.82780,M,24S,M24S26E24,M24S26E,54M24S26E24,54M24S26E
2626688.92737,6485.44520,4734,106639,54,M24S,36E,27,-118.08431,35.81517,M,24S,M24S36E27,M24S36E,54M24S36E27,54M24S36E
2616112.98406,6477.55824,4735,106643,54,M24S,26E,23,-119.13344,35.82783,M,24S,M24S26E23,M24S26E,54M24S26E23,54M24S26E
2570604.19293,6413.35254,4736,106645,54,M24S,26E,22,-119.15129,35.82784,M,24S,M24S26E22,M24S26E,54M24S26E22,54M24S26E
2601118.97271,6451.20710,4737,106648,54,M24S,26E,21,-119.16906,35.82784,M,24S,M24S26E21,M24S26E,54M24S26E21,54M24S26E
2591434.32910,6439.19712,4738,106650,54,M24S,26E,20,-119.18689,35.82784,M,24S,M24S26E20,M24S26E,54M24S26E20,54M24S26E
2591269.65491,6439.01215,4739,106653,54,M24S,26E,19,-119.20469,35.82780,M,24S,M24S26E19,M24S26E,54M24S26E19,54M24S26E
2690702.53162,6566.11329,4740,106658,54,M24S,36E,28,-118.10277,35.81480,M,24S,M24S36E28,M24S36E,54M24S36E28,54M24S36E
2600242.03625,6450.19874,4741,106661,54,M24S,25E,24,-119.22251,35.82771,M,24S,M24S25E24,M24S25E,54M24S25E24,54M24S25E
2604292.05329,6455.35915,4742,106663,54,M24S,25E,23,-119.24032,35.82761,M,24S,M24S25E23,M24S25E,54M24S25E23,54M24S25E
2628610.34466,6485.16433,4743,106667,54,M24S,25E,22,-119.25819,35.82759,M,24S,M24S25E22,M24S25E,54M24S25E22,54M24S25E
2585688.28998,6432.07654,4744,106675,54,M24S,25E,21,-119.27606,35.82755,M,24S,M24S25E21,M24S25E,54M24S25E21,54M24S25E
2522497.64966,6358.30731,4745,106677,54,M24S,36E,29,-118.12085,35.81427,M,24S,M24S36E29,M24S36E,54M24S36E29,54M24S36E
2591876.89151,6439.96913,4746,106681,54,M24S,25E,20,-119.29389,35.82757,M,24S,M24S25E20,M24S25E,54M24S25E20,54M24S25E
2616938.54858,6471.02891,4747,106682,54,M24S,25E,19,-119.31180,35.82760,M,24S,M24S25E19,M24S25E,54M24S25E19,54M24S25E
2625580.87432,6482.23072,4748,106683,54,M24S,24E,24,-119.32976,35.82762,M,24S,M24S24E24,M24S24E,54M24S24E24,54M24S24E
