AREA,PERIMETER,PLS10_,PLS10_ID,COUNTY_CD,MTOWN,RANGE,SECTION,SOURCE,DDLONG,DDLAT,BASE_LN_ME,TOWNSHIP,MTRS,MTR,CO_MTRS,CO_MTR
2604746.57104999991,6455.89763962000,1034.00000000000,79712.00000000000,10,M10S,29E,05,0,-118.83548386200,37.08871729040,M,10S,M10S29E05,M10S29E,10M10S29E05,10M10S29E
2625266.71958999988,6481.14184454000,1035.00000000000,79718.00000000000,10,M10S,29E,04,0,-118.81728291900,37.08832851260,M,10S,M10S29E04,M10S29E,10M10S29E04,10M10S29E
2516207.09122999990,6348.53262756000,1036.00000000000,79721.00000000000,10,M10S,28E,01,1,-118.87126792500,37.08911432770,M,10S,M10S28E01,M10S28E,10M10S28E01,10M10S28E
2608725.62886000006,6460.71087538000,1037.00000000000,79722.00000000000,10,M10S,29E,03,0,-118.79909129900,37.08797832930,M,10S,M10S29E03,M10S29E,10M10S29E03,10M10S29E
2500135.08542999998,6325.31585354000,1038.00000000000,79723.00000000000,10,M10S,28E,02,1,-118.88950328600,37.08918401300,M,10S,M10S28E02,M10S28E,10M10S28E02,10M10S28E
2497479.28384999977,6322.00367306000,1039.00000000000,79724.00000000000,10,M10S,28E,03,1,-118.90747559700,37.08924278920,M,10S,M10S28E03,M10S28E,10M10S28E03,10M10S28E
2554043.78729999997,6393.73170516000,1040.00000000000,79725.00000000000,10,M10S,28E,04,1,-118.92545201200,37.08932138230,M,10S,M10S28E04,M10S28E,10M10S28E04,10M10S28E
2559505.19377999986,6400.43831999000,1041.00000000000,79727.00000000000,10,M10S,28E,05,1,-118.94348088300,37.08934668970,M,10S,M10S28E05,M10S28E,10M10S28E05,10M10S28E
2542723.95375999995,6379.07515855000,1042.00000000000,79728.00000000000,10,M10S,29E,02,0,-118.78117923100,37.08770496760,M,10S,M10S29E02,M10S29E,10M10S29E02,10M10S29E
2572597.91632999992,6415.84722377000,1043.00000000000,79732.00000000000,10,M10S,28E,06,1,-118.96148847200,37.08939849830,M,10S,M10S28E06,M10S28E,10M10S28E06,10M10S28E
2626466.73487999989,6483.02106435000,1044.00000000000,79733.00000000000,10,M10S,29E,01,0,-118.76320445600,37.08731510540,M,10S,M10S29E01,M10S29E,10M10S29E01,10M10S29E
2627015.51464999979,6483.97564916000,1045.00000000000,79735.00000000000,10,M10S,27E,01,1,-118.97967463100,37.08938592820,M,10S,M10S27E01,M10S27E,10M10S27E01,10M10S27E
2468786.52258000011,6282.29314509000,1046.00000000000,79736.00000000000,10,M10S,27E,02,1,-118.99743508700,37.08940824320,M,10S,M10S27E02,M10S27E,10M10S27E02,10M10S27E
2596797.51992999995,6445.87555426000,1047.00000000000,79738.00000000000,10,M10S,27E,03,1,-119.01511067800,37.08941218540,M,10S,M10S27E03,M10S27E,10M10S27E03,10M10S27E
2537813.33154999977,6375.06373914000,1048.00000000000,79741.00000000000,10,M10S,27E,04,1,-119.03318928200,37.08941582640,M,10S,M10S27E04,M10S27E,10M10S27E04,10M10S27E
2597195.39129000017,6445.99099828000,1049.00000000000,79742.00000000000,10,M10S,27E,05,1,-119.05129737800,37.08948307010,M,10S,M10S27E05,M10S27E,10M10S27E05,10M10S27E
