site_code_pre_1990,site_name_pre_1990,is_orchard_crop_pre_1990,is_annual_crop_pre_1990,is_forage_pre_1990,applied_water_category_pre_1990,site_code_1990_2016,site_name_1990_2016,cc_crop_category_2016,tree_loss_price_per_acre,tree_loss_price_per_acre_year5,is_orchard_crop_1990_2016,is_annual_crop_1990_2016,is_forage_1990_2016,applied_water_category_1990_2016,,crop_name_HR_2010,AW_HR_2010,AW_HR_2009,AW_HR_2008,AW_HR_2007,AW_HR_2006,AW_HR_2005,AW_HR_2004,AW_HR_2003,AW_HR_2002,AW_HR_2001,AW_HR_2000,AW_HR_1999,AW_HR_1998,AW_HR_2010_min
9211,swimming pool,,,,,55001,CHICKEN,,,,,,,,,,,,,,,,,,,,,,,
6104,swine,,,,,55002,DUCK,,,,,,,,,,,,,,,,,,,,,,,
1216,swiss chard,,1,,Oth Trk ,55008,TURKEY,,,,,,,,,,,,,,,,,,,,,,,
2104,tangerine/tangelo,1,,,Subtrop,55501,EGG,,,,,,,,,,,,,,,,,,,,,,,
1247,taro root,,1,,Potato,56005,HORSE,,,,,,,,,,,,,,,,,,,,,,,
5204,tarragon,,1,,Oth Trk ,60000,DAIRY EQUIPMENT,,,,,,,,,,,,,,,,,,,,,,,
9303,tobacco,,1,,Oth Trk ,61001,ANIMAL PREMISE,,,,,,,,,,,,,,,,,,,,,,,
1345,tomatilla,,1,,Fr Tom,61005,SILOS,,,,,,,,,,,,,,,,,,,,,,,
1344,tomato,,1,,Fr Tom,61006,GREENHOUSE FUMIGATION,,,,,,,,,,,,,,,,,,,,,,,
3309,triticale,,1,,Oth Trk ,61007,MUSHROOM HOUSE,,,,,,,,,,,,,,,,,,,,,,,
2400,tropical and sub-tropibal fruit,,,,Subtrop,61008,BEEHIVE,,,,,,,,,,,,,,,,,,,,,,,
7100,turf,,,,,63000,HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,
6203,turkey,,,,,64500,"LUMBER, TREATED",,,,,,,,,,,,,,,,,,,,,,,
1118,turnip,,1,,Oth Trk ,65000,WATER AREA,,,,,,,,,,,,,,,,,,,,,,,
1248,turnip greens,,1,,Oth Trk ,65011,SWIMMING POOL,,,,,,,,,,,,,,,,,,,,,,,
3,university of California,,,,,65015,WATER FILTER,,,,,,,,,,,,,,,,,,,,,,,
985,university of California,,,,,65019,WATER COOLING TOWERS,,,,,,,,,,,,,,,,,,,,,,,
4,vector control,,,,,65021,DITCH BANK,,,,,,,,,,,,,,,,,,,,,,,
881,vector control,,,,,65503,WATER (INDUSTRLIAL),,,,,,,,,,,,,,,,,,,,,,,
1000,vegetable,,1,,Oth Trk ,66000,UNCULTIVATED AG,,,,,,,,,,,,,,,,,,,,,,,
1300,"vegetable, fruiting",,1,,Oth Trk ,67000,UNCULTIVATED NON-AG,,,,,,,,,,,,,,,,,,,,,,,
1340,"vegetable, fruiting, other",,1,,Oth Trk ,67001,AIRPORT,,,,,,,,,,,,,,,,,,,,,,,
1210,"vegetable, leaf",,1,,Oth Trk ,67002,RECREATION AREA,,,,,,,,,,,,,,,,,,,,,,,
1200,"vegetable, leaf and stem",,1,,Oth Trk ,67003,BUILDINGS/NON-AG OUTDROOR,,,,,,,,,,,,,,,,,,,,,,,
1110,"vegetable, root",,1,,Oth Trk ,67009,INDUSTRIAL SITES,,,,,,,,,,,,,,,,,,,,,,,
1100,"vegetable, root, tuber and bulb",,1,,Oth Trk ,68002,RESIDENTIAL,,,,,,,,,,,,,,,,,,,,,,,
4500,vegetable seed,,1,,Oth Trk ,68009,FENCEROWS,,,,,,,,,,,,,,,,,,,,,,,
1230,"vegetable, stem",,1,,Oth Trk ,69000,BOAT/PIER,,,,,,,,,,,,,,,,,,,,,,,
1120,"vegetable, tuber and bulb",,1,,Oth Trk ,71000,FOOD PROCRESSING PLANT,,,,,,,,,,,,,,,,,,,,,,,
1261,verojlaga,,1,,Oth Trk ,72000,RESTAURANT,,,,,,,,,,,,,,,,,,,,,,,
3107,vetch,,,,,74000,HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,
4105,walnut,1,,,Oth Dec,77000,INDUSTRIAL SITE,,,,,,,,,,,,,,,,,,,,,,,
9104,water area,,,,,89000,REFUSE AND SOLID WASTE,,,,,,,,,,,,,,,,,,,,,,,
5,water resources,,,,,99999,UNDECLARED COMMODITY,,,,,,,,,,,,,,,,,,,,,,,
950,water resources,,,,,9999991,,,,,,,,,,,,,,,,,,,,,,,,
1249,watercress,,1,,Oth Trk ,9999992,,,,,,,,,,,,,,,,,,,,,,,,
1312,watermelon,,1,,Cucurb,9999993,,,,,,,,,,,,,,,,,,,,,,,,
3307,wheat,,1,,Grain,9999994,,,,,,,,,,,,,,,,,,,,,,,,
3308,wild rice,,1,,Rice,9999995,,,,,,,,,,,,,,,,,,,,,,,,
1250,yam,,1,,Potato,9999996,,,,,,,,,,,,,,,,,,,,,,,,
1325,zucchini,,1,,Cucurb,9999997,,,,,,,,,,,,,,,,,,,,,,,,
999,recently changed,,,,,9999998,,,,,,,,,,,,,,,,,,,,,,,,
999999,fruits_and_berries,,,,,9999999,,,,,,,,,,,,,,,,,,,,,,,,
99999,dried_fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
